Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K2,Q6K3,Q6K4,Benefit1,Benefit2,Benefit3,Tin2,size1,size2,AMED,Quant1,Quant2,Age2,Age3,Edu1,Edu2
5,4,1,0,10,1,1,90,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5,4,2,0,5,-1,-1,270,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5,4,3,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
6,1,1,1,5,-1,-1,890,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,1,2,0,10,1,1,90,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,1,3,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,2,1,0,5,1,1,530,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,2,2,1,10,-1,-1,890,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,2,3,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,3,1,1,10,-1,-1,270,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,3,2,0,5,1,1,530,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,3,3,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,4,1,0,10,1,1,90,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,4,2,1,5,-1,-1,270,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
6,4,3,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
7,1,1,1,5,-1,-1,890,0,2,-999,-999,-999,1,0,0,0,1,0,0,1,0,1,0,1,0
7,1,2,0,10,1,1,90,0,2,-999,-999,-999,1,0,0,0,1,0,0,1,0,1,0,1,0
7,1,3,0,0,0,0,0,1,2,-999,-999,-999,1,0,0,0,1,0,0,1,0,1,0,1,0
7,2,1,1,5,1,1,530,0,2,-999,-999,-999,1,0,0,0,1,0,0,1,0,1,0,1,0
7,2,2,0,10,-1,-1,890,0,2,-999,-999,-999,1,0,0,0,1,0,0,1,0,1,0,1,0
